OBJECTID,Date,Dead,Serious injuries,Light injuries,Day of the week,Day/Night,Type of the accident,Cause of the accident,Alcohol or drugs,Weather conditions,Place,Vehicle type,Vehicle characteristic,Skid,Total damage in Czk,x,y
1734,5/22/2017,0,0,0,Monday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1844240.2737517904,6305000.350052612
1735,5/22/2017,0,0,0,Monday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1844956.777869421,6315765.5161693925
1736,5/22/2017,0,0,0,Monday,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,"Bus stop, trolleybus, tramway without boarding. islet",Passenger car without a trailer,"Private, not used for business activity",No,0,1848154.5492429954,6306964.785152328
1737,5/22/2017,0,0,0,Monday,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1850847.7035761836,6309979.634653796
1738,5/22/2017,0,0,1,Monday,Night,Crash,The driver of the motor vehicle,Not tested,Clear,Near the pedestrian crossing,"Not identified, the driver has fled",Not identified,No,0,1848420.6056089734,6310151.9865303775
1739,5/21/2017,0,0,1,Sunday,Day,Collision with pedestrian,Pedestrian,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,0,1851094.2647823882,6310027.839587885
1740,5/21/2017,0,0,0,Sunday,Day,Collision with a fixed obstacle,Other,Not tested,Clear,None or none of listed,Bus,Public transport,No,20000,1846046.7018830797,6306120.35490762
1741,5/21/2017,0,0,0,Sunday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,Not tested,Clear,Pedestrian crossing,Passenger car without a trailer,Private company,No,0,1847743.649966843,6309923.357973441
1742,5/21/2017,0,0,0,Sunday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1845495.2502838944,6319434.657098071
1743,5/21/2017,0,0,1,Sunday,Day,Collision with pedestrian,The driver of the motor vehicle,No,Clear,"Bus, trolleybus, tram stop. islet",Troleybus,Public transport,No,0,1844752.1077460807,6307752.911271782
1744,5/21/2017,0,0,1,Sunday,Night,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,10000,1849799.4325329917,6307497.88393201
1745,5/20/2017,0,0,0,Saturday,Night,Collision with wildlife animals,"Forest animals, pets",Not tested,Clear,None or none of listed,Truck with semi-trailer,Registered outside of the Czech Republic,No,50000,1844714.2829415775,6302236.216218693
1746,5/20/2017,0,0,0,Saturday,Night,Crash,The driver of the motor vehicle,Under influence of alcohol,Clear,None or none of listed,Motorbike,"Private, not used for business activity",No,5000,1848853.4387209925,6307731.299193376
1747,5/20/2017,0,0,0,Saturday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,0,1840360.3394329436,6308172.127399832
1748,5/20/2017,0,0,0,Saturday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1850617.6546126916,6314745.88807965
1749,5/20/2017,0,0,1,Saturday,Day,Crash,Driver of a non-motorized vehicle,No,Clear,None or none of listed,Bicycle,"Private, not used for business activity",No,10000,1848576.439203791,6322143.85867508
1750,5/20/2017,0,0,1,Saturday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,50000,1848096.3047703416,6310085.617921781
1751,5/20/2017,0,0,2,Saturday,Night,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,30000,1853265.641173819,6306541.1608081255
1752,5/19/2017,0,1,0,Friday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,"Bridge, overpass, underpass, tunnel",Motorbike,"Private, not used for business activity",No,20000,1847177.1270444395,6302745.669174039
1753,5/19/2017,0,0,0,Friday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,"Exit from the car park, forest roads, etc.",Passenger car without a trailer,Private company,No,80000,1849408.8879144115,6306800.198732218
1754,5/19/2017,0,0,0,Friday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Truck,"Private, not used for business activity",No,0,1855306.5435523123,6308989.189220207
1755,5/19/2017,0,0,0,Friday,Night,Collision with a parked vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1847254.5503068783,6310521.629669095
1756,5/19/2017,0,0,3,Friday,Day,Other collisions,The driver of the motor vehicle,Not tested,Clear,Pedestrian crossing,"Not identified, the driver has fled",Not identified,No,0,1847163.8186879945,6307247.751460608
1757,5/19/2017,0,0,0,Friday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,10000,1848883.5096776828,6308147.982338052
1758,5/19/2017,0,0,0,Friday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1855023.1547416123,6309798.177789236
1759,5/19/2017,0,0,1,Friday,Day,Crash,The driver of the motor vehicle,No,Clear,"Exit from the car park, forest roads, etc.",Motorbike,"Private, not used for business activity",Yes,20000,1839519.5722620504,6308358.3753739195
1760,5/19/2017,0,0,1,Friday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,2000,1850815.3326475003,6307383.648827767
1761,5/19/2017,0,0,0,Friday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1847065.8146780906,6302938.567206682
1762,5/19/2017,0,0,1,Friday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Truck,Private company,No,120000,1853913.2946316705,6306480.842325238
1763,5/19/2017,0,0,0,Friday,Night,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Truck,Private company,No,0,1848885.8367003177,6307838.107263599
1764,5/18/2017,0,0,1,Thursday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, used for business activity",Yes,50000,1846482.0326705119,6302254.877902473
1765,5/18/2017,0,0,1,Thursday,Night,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,30000,1856941.4385896844,6304509.455418289
1766,5/18/2017,0,0,1,Thursday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Private company,No,40000,1856672.8974613443,6303419.71013608
1767,5/18/2017,0,0,0,Thursday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Truck with semi-trailer,Registered outside of the Czech Republic,No,5000,1851483.954133317,6302756.407784749
1768,5/18/2017,0,0,1,Thursday,Day,Collision with a non rail vehicle ,Driver of a non-motorized vehicle,No,Clear,None or none of listed,Bicycle,"Private, not used for business activity",No,1000,1852141.1720504935,6308661.338820261
1769,5/18/2017,0,0,1,Thursday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,60000,1846903.352007602,6313977.487036409
1770,5/18/2017,0,0,0,Thursday,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,Truck,Private company,No,0,1856634.1972403722,6310679.427093679
1771,5/18/2017,0,0,0,Thursday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1850180.0238532594,6307595.994107824
1772,5/18/2017,0,0,0,Thursday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Truck,Private company,No,0,1850758.9902909864,6307455.098220175
1773,5/17/2017,0,0,0,Wednesday,Night,Collision with wildlife animals,"Forest animals, pets",Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,30000,1858083.778610097,6313306.460934376
1774,5/17/2017,0,0,1,Wednesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Truck,Private company,No,20000,1849295.9770001785,6308994.178581378
1775,5/17/2017,0,0,0,Wednesday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1845210.2180635554,6311736.611542592
1776,5/17/2017,0,0,1,Wednesday,Day,Crash,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Motorbike,"Private, not used for business activity",Yes,0,1849508.2194092455,6307770.115633047
1777,5/17/2017,0,0,0,Wednesday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1843850.532080697,6304598.647914511
1778,5/17/2017,0,0,0,Wednesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,1000,1852086.452064242,6311535.672769276
1779,5/17/2017,0,0,0,Wednesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1844675.1676102225,6310335.8133571595
1780,5/17/2017,0,0,1,Wednesday,Day,Other collisions,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Bus,Public transport,No,0,1847376.5278596797,6306627.218626785
1781,5/17/2017,0,0,0,Wednesday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1850349.7160567613,6308756.30045398
1782,5/17/2017,0,0,0,Wednesday,Night,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",Yes,50000,1835961.5785859951,6311132.11214695
1783,5/17/2017,0,0,0,Wednesday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1849310.1937236676,6308091.238700056
1784,5/17/2017,0,0,0,Wednesday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1849167.1590873073,6308390.225833252
1785,5/16/2017,0,0,0,Tuesday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1854474.2397796677,6309807.90956508
1786,5/16/2017,0,0,1,Tuesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,30000,1854211.6299764372,6296849.595502955
1787,5/16/2017,0,0,0,Tuesday,Day,Collision with a parked vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,20000,1843812.5840455235,6320374.007686165
1788,5/16/2017,0,0,0,Tuesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,30000,1853096.936596842,6308080.198757628
1789,5/16/2017,0,0,1,Tuesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,30000,1854615.0582676039,6300527.675647729
1790,5/16/2017,0,0,0,Tuesday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1857193.478941219,6311097.600943066
1791,5/16/2017,0,0,0,Tuesday,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,10000,1846055.7823252643,6311269.956948368
1792,5/16/2017,0,0,0,Tuesday,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,10000,1848051.0055299536,6306512.05313276
1793,5/16/2017,0,0,0,Tuesday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1849909.9268123982,6309665.970759242
1794,5/15/2017,0,0,0,Monday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,Gas station,"Not identified, the driver has fled",Not identified,No,0,1841503.2987236902,6311969.045015894
1795,5/15/2017,0,0,1,Monday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,20000,1845168.2096499486,6307525.822922866
1796,5/15/2017,0,0,0,Monday,Night,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1845011.1648990784,6314431.713708886
1797,5/15/2017,0,0,0,Monday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,Private company,No,5000,1842340.9381508462,6310958.057622896
1798,5/15/2017,0,0,0,Monday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1853504.7419703852,6296904.817992552
1799,5/15/2017,0,0,0,Monday,Day,Collision with a fixed obstacle,Other,Not tested,Clear,Pedestrian crossing,Passenger car without a trailer,Private company,No,50000,1842219.7537494195,6312098.89076158
1800,5/15/2017,0,0,0,Monday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,Private company,No,110000,1850930.399263674,6306829.099949385
1801,5/15/2017,0,0,1,Monday,Day,Collision with pedestrian,Pedestrian,No,Clear,Pedestrian crossing,Tram,Public transport,No,2000,1849188.2238519124,6307354.46039975
1802,5/15/2017,0,0,0,Monday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1849587.813735717,6307823.943558697
1803,5/15/2017,0,1,0,Monday,Day,Collision with pedestrian,Pedestrian,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,1000,1847123.2462958253,6305810.577032297
1804,5/15/2017,0,0,0,Monday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1846587.8605481887,6313608.429453797
1805,5/15/2017,0,0,1,Monday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Rain,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,30000,1855156.3467312397,6299235.607319577
1806,5/15/2017,0,0,1,Monday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Rain,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,10000,1853329.9839508177,6306536.047886418
1807,5/15/2017,0,1,0,Monday,Day,Collision with a fixed obstacle,Driver of a non-motorized vehicle,No,Clear,None or none of listed,Bicycle,"Private, not used for business activity",Yes,0,1846434.2882975114,6308762.575400196
1808,5/15/2017,0,0,0,Monday,Day,Collision with a parked vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Truck,Private company,No,10000,1849746.3263453979,6308690.015582826
1809,5/15/2017,0,0,0,Monday,Day,Collision with a parked vehicle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,15000,1847419.8411603523,6309996.450820206
1810,5/15/2017,0,0,0,Monday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1845784.6447811227,6309174.733907631
1811,5/15/2017,0,0,0,Monday,Night,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Truck,"Private, not used for business activity",No,60000,1851092.144591363,6300622.948545993
1812,5/15/2017,0,0,0,Monday,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Bus,Public transport - city- local ,No,0,1847020.4234878009,6312960.320011811
1813,5/15/2017,0,0,0,Monday,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,0,1847914.969883937,6306401.518356869
1814,5/15/2017,0,0,0,Monday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1847634.0531451658,6304769.651310567
1815,5/14/2017,0,0,1,Sunday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,0,1843222.638945658,6303179.422959986
1816,5/14/2017,0,0,0,Sunday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,Under influence of alcohol,Clear,"Bridge, overpass, underpass, tunnel",Passenger car without a trailer,"Private, not used for business activity",Yes,30000,1854954.4196314698,6296002.089070196
1817,5/14/2017,0,0,0,Sunday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1843682.386884162,6303138.229877344
1818,5/14/2017,0,0,0,Sunday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1847733.5523984705,6301135.919752529
1819,5/14/2017,0,0,0,Sunday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1847327.598713339,6308044.461966309
1820,5/14/2017,0,0,1,Sunday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,80000,1849111.6703286513,6306947.887317733
1821,5/14/2017,0,0,0,Sunday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1845475.313074415,6303703.779061089
1822,5/14/2017,0,0,1,Sunday,Night,Crash,The driver of the motor vehicle,No,Clear,None or none of listed,Motorbike,"Private, not used for business activity",No,10000,1842149.3842465102,6308595.257763791
1823,5/14/2017,0,0,0,Sunday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1857071.5924477663,6311325.967236151
1824,5/14/2017,0,0,0,Sunday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1849948.5469946614,6309441.400964742
1825,5/13/2017,0,0,1,Saturday,Day,Crash,Driver of a non-motorized vehicle,No,Clear,None or none of listed,Bicycle,"Private, not used for business activity",No,1000,1851331.3179682351,6323887.52623796
1826,5/13/2017,0,0,1,Saturday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Truck,Private company,No,0,1847319.6977011585,6308118.908292181
1827,5/13/2017,0,0,1,Saturday,Day,Crash,The driver of the motor vehicle,No,Clear,"Bus stop, trolleybus, tramway without boarding. islet",Motorbike,"Private, not used for business activity",No,20000,1855459.6165350762,6299955.263890656
1828,5/13/2017,0,0,0,Saturday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1848390.9317289097,6308405.415515517
1829,5/13/2017,0,0,1,Saturday,Day,Collision with pedestrian,The driver of the motor vehicle,No,Clear,"Bus stop, trolleybus, tramway without boarding. islet",Truck,"Private, not used for business activity",No,0,1849081.07706091,6307458.7360805655
1830,5/13/2017,0,0,1,Saturday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,"At the beginning of the rain, light rain, drizzle, etc.",None or none of listed,Passenger car without a trailer,"Private, not used for business activity",Yes,80000,1847649.755093306,6301855.121313784
1831,5/13/2017,0,0,0,Saturday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Private company,No,1000,1842148.725569082,6311921.300029896
1832,5/13/2017,0,0,0,Saturday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1844259.5561800264,6302569.90716843
1833,5/13/2017,0,0,0,Saturday,Night,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Bus,Private company,No,70000,1849102.3311799725,6307248.363461748
1834,5/13/2017,0,0,0,Saturday,Night,Collision with a parked vehicle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,1000,1834387.489371442,6310159.140196958
1835,5/12/2017,0,0,0,Friday,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,30000,1845244.7911144036,6316598.49144479
1836,5/12/2017,0,0,1,Friday,Day,Crash,Driver of a non-motorized vehicle,No,Clear,Pedestrian crossing,Bicycle,"Private, not used for business activity",No,1000,1852732.0301928231,6307978.8497707825
1837,5/12/2017,0,0,0,Friday,Night,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1847569.6200880653,6305328.05328253
1838,5/12/2017,0,0,0,Friday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1844085.5023675587,6307705.309582043
1839,5/12/2017,0,0,0,Friday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1846982.1340357529,6313108.788710716
1840,5/12/2017,0,0,0,Friday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1853195.8756904637,6313459.335233036
1841,5/12/2017,0,0,1,Friday,Night,Collision with pedestrian,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1849344.237895621,6307397.351378347
1842,5/11/2017,0,0,1,Thursday,Night,Crash,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",Yes,200000,1843287.9116856814,6304257.760675792
1843,5/11/2017,0,0,0,Thursday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,120000,1848933.8867566406,6310449.762526561
1844,5/11/2017,0,0,0,Thursday,Night,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,"Bus, trolleybus, tram stop. islet","Not identified, the driver has fled",Not identified,No,0,1845800.9287075568,6303886.638648539
1845,5/11/2017,0,0,0,Thursday,Day,Crash,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,5000,1849540.0619043072,6307914.231197364
1846,5/11/2017,0,0,1,Thursday,Day,Collision with a parked vehicle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,10000,1841033.1764765559,6308293.413354978
1847,5/11/2017,0,0,0,Thursday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1849798.2177033909,6313325.573969103
1848,5/11/2017,0,0,0,Thursday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1848887.0251472,6307693.634264046
1849,5/11/2017,0,0,0,Thursday,Night,Collision with a parked vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Private company,No,10000,1849441.9787462475,6307636.393909848
1850,5/11/2017,0,0,0,Thursday,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,10000,1842095.5950025183,6304881.391409788
1851,5/10/2017,0,0,0,Wednesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,40000,1856087.3973487474,6310690.523437266
1852,5/10/2017,0,0,0,Wednesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Registered outside of the Czech Republic,No,50000,1843042.6021558386,6311481.048793594
1853,5/10/2017,0,0,0,Wednesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,20000,1843039.818834608,6311486.331725879
1854,5/10/2017,0,0,0,Wednesday,Day,Collision with a parked vehicle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Troleybus,Public transport,No,20000,1850987.183335926,6310242.3742628945
1855,5/10/2017,0,0,0,Wednesday,Day,Collision with a tram,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,Private company,No,150000,1849364.9695923072,6308253.758417693
1856,5/10/2017,0,0,1,Wednesday,Day,Collision with pedestrian,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,0,1845015.8967566725,6316006.789370994
1857,5/10/2017,0,0,0,Wednesday,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1846196.5296800449,6315477.312162602
1858,5/10/2017,0,0,1,Wednesday,Day,Collision with pedestrian,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,0,1851006.9428794975,6311820.764954754
1859,5/10/2017,0,0,0,Wednesday,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,3000,1847148.9726754217,6309220.516155023
1860,5/10/2017,0,0,0,Wednesday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,40000,1848516.1224074932,6307185.699578661
1861,5/10/2017,0,0,0,Wednesday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1851354.3275956614,6310620.316250873
1862,5/10/2017,0,0,0,Wednesday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1845912.0522760462,6304619.007566334
1863,5/9/2017,0,0,1,Tuesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,5000,1847729.5470118723,6310444.248846324
1864,5/9/2017,0,0,0,Tuesday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,"Exit from the car park, forest roads, etc.","Not identified, the driver has fled",Not identified,No,0,1846527.6321395682,6316576.44604573
1865,5/9/2017,0,0,0,Tuesday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Truck,Private company,No,0,1841888.3206710056,6308016.8910792405
