objectid,date,dead,serious.injuries,light.injuries,day.of.the.week,day/night,type.of.the.accident,cause.of.the.accident,alcohol.or.drugs,weather.conditions,place,vehicle.type,vehicle.characteristic,skid,total.damage.in.czk,x,y,lat,lng
1471,2020/06/19 00:00,0,0,0,Mon,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1848930.509768573,6308779.69187173,49.199495753000065,16.60922536200007
1472,2020/06/18 00:00,0,0,2,Sun,Night,Crash,Driver of a non-motorized vehicle,No,Clear,None or none of listed,Bicycle,Other,No,5000,1849273.4665293472,6308310.661919155,49.196742547000035,16.612306195000027
1473,2020/06/18 00:00,0,0,0,Sun,Day,Collision with a pet,"Forest animals, pets",Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1851079.341848045,6309872.441795769,49.20590960100002,16.62852864900003
1474,2020/06/18 00:00,0,0,1,Sun,Day,Collision with pedestrian,Pedestrian,No,Clear,Pedestrian crossing,Tram,Public transport,No,0,1847301.8354869885,6306713.066637548,49.18736351200004,16.594594732000076
1475,2020/06/18 00:00,0,0,0,Sun,Day,Collision with a tram,The driver of the motor vehicle,Not tested,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,20000,1850842.7673360084,6309272.178372419,49.20238648400004,16.626403464000077
1476,2020/06/18 00:00,0,0,0,Sun,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Private company,No,120000,1849749.3039191356,6306858.610683649,49.18821803400004,16.61658071500005
1477,2020/06/18 00:00,0,0,0,Sun,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1847179.996304313,6311358.194285522,49.21462882600007,16.593500232000054
1478,2020/06/18 00:00,0,0,0,Sun,Day,Collision with a non rail vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,5000,1850406.0437190996,6318021.98695217,49.253716767000064,16.622480309000025
1479,2020/06/18 00:00,0,0,2,Sun,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,70000,1847271.8852006288,6309658.9093463775,49.204656347000075,16.59432568400007
1480,2020/06/18 00:00,0,0,0,Sun,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1852676.1800910996,6315058.327847606,49.236336592000036,16.642873291000058
1481,2020/06/18 00:00,0,0,0,Sun,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1854908.2887231659,6310240.87021231,49.20807188800006,16.66292466400006
1482,2020/06/17 00:00,0,0,0,Sat,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1848348.9289926065,6307402.207958034,49.191409486000055,16.604000933000066
1483,2020/06/17 00:00,0,0,0,Sat,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1844476.965371939,6311897.184611558,49.21779154200005,16.56921849200006
1484,2020/06/17 00:00,0,0,0,Sat,Day,Collision with a parked vehicle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,Private company,No,20000,1848543.5064456307,6307195.23637518,49.190194383000055,16.60574885200003
1485,2020/06/17 00:00,0,0,0,Sat,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1851093.0574111901,6301245.2491776105,49.15525002700007,16.62865185800007
1486,2020/06/17 00:00,0,0,0,Sat,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1846792.6147177417,6308482.819181779,49.19775312800004,16.59002032400002
1487,2020/06/17 00:00,0,0,0,Sat,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,"At the beginning of the rain, light rain, drizzle, etc.","Bridge, overpass, underpass, tunnel",Passenger car without a trailer,"Private, not used for business activity",Yes,15000,1848316.81766097,6312172.981614161,49.219409800000044,16.603712472000037
1488,2020/06/17 00:00,0,0,0,Sat,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,0,1840453.292766231,6313856.515207016,49.22928690100007,16.533073226000056
1489,2020/06/17 00:00,0,0,0,Sat,Night,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",Yes,50000,1835914.1520301397,6311007.539396074,49.21257112600006,16.49229743100005
1490,2020/06/17 00:00,0,0,0,Sat,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1846913.3953633802,6314657.709180087,49.23398672200005,16.59110531500005
1491,2020/06/17 00:00,0,0,0,Sat,Day,Collision with a non rail vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1858530.8290022034,6310019.9027611455,49.20677505300005,16.695466497000037
1492,2020/06/16 00:00,0,0,0,Fri,Night,Collision with wildlife animals,"Forest animals, pets",Not tested,Clear,"Bridge, overpass, underpass, tunnel",Truck,Private company,No,2000,1847777.4630395283,6302532.497159084,49.162812143000046,16.598867367000025
1493,2020/06/16 00:00,0,0,1,Fri,Day,Collision with pedestrian,The driver of the motor vehicle,Not tested,Clear,Pedestrian crossing,"Not identified, the driver has fled",Not identified,No,0,1848129.024240354,6309150.966408759,49.20167502600002,16.602025495000074
1494,2020/06/16 00:00,0,0,1,Fri,Day,Collision with pedestrian,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1850365.591440663,6304478.019259172,49.17423919000003,16.622116920000053
1495,2020/06/16 00:00,0,0,0,Fri,Day,Collision with a non rail vehicle,The driver of the motor vehicle,Under influence of drugs,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,10000,1849344.405876734,6302932.356521231,49.165160937000046,16.61294345400006
1496,2020/06/16 00:00,0,0,0,Fri,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,"Exit from the car park, forest roads, etc.","Not identified, the driver has fled",Not identified,No,0,1850250.9793419724,6308853.926628067,49.19993149700007,16.621087342000067
1497,2020/06/16 00:00,0,0,0,Fri,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Rain,Pedestrian crossing,Truck with semi-trailer,Registered outside of the Czech Republic,No,20000,1855000.0089704522,6306967.2630523145,49.18885594700002,16.663748601000066
1498,2020/06/16 00:00,0,0,0,Fri,Night,Collision with a parked vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Truck,"Private, not used for business activity",No,10000,1847922.4526687905,6310178.245921271,49.20770435600007,16.600169831000073
1499,2020/06/16 00:00,0,1,1,Fri,Night,Collision with pedestrian,Driver of a non-motorized vehicle,No,Clear,None or none of listed,Other non motor vehicle,"Private, not used for business activity",No,0,1859322.414999424,6309902.643027724,49.20608685400003,16.702577435000023
1500,2020/06/15 00:00,0,0,0,Thu,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1848608.3175437297,6307830.963573549,49.193926559000026,16.60633106000006
1501,2020/06/15 00:00,0,0,0,Thu,Day,Collision with a non rail vehicle,The driver of the motor vehicle,Under influence of alcohol,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,20000,1844799.7463655698,6310663.837640863,49.21055414500006,16.572118083000078
1502,2020/06/15 00:00,0,0,0,Thu,Day,Collision with a parked vehicle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Truck,"Private, not used for business activity",No,5000,1850190.596978498,6307549.830613206,49.19227614100003,16.620544918000064
1503,2020/06/15 00:00,0,0,1,Thu,Day,Collision with pedestrian,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,50000,1842219.4189003888,6312098.379302318,49.218972071000046,16.54893860700002
1504,2020/06/15 00:00,0,0,0,Thu,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,"Bus stop, trolleybus, tramway without boarding. islet",Passenger car without a trailer,"Private, not used for business activity",No,30000,1846430.4256224975,6312776.935131042,49.22295335400002,16.586766724000025
1505,2020/06/15 00:00,0,0,0,Thu,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1849731.3400702698,6308789.715324675,49.19955458900005,16.616419343000075
1506,2020/06/15 00:00,0,0,0,Thu,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1847564.643884185,6306275.32228617,49.18479332700008,16.596955580000042
1507,2020/06/15 00:00,0,0,0,Thu,Day,Collision with a non rail vehicle,The driver of the motor vehicle,Under influence of alcohol,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,5000,1852753.1112100729,6309155.399607414,49.20170104700003,16.643564375000036
1508,2020/06/15 00:00,0,0,1,Thu,Day,Collision with a non rail vehicle,The driver of the motor vehicle,Under influence of alcohol,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",Yes,20000,1849852.2380466447,6306611.9337053485,49.18676972900004,16.617505388000044
1509,2020/06/15 00:00,0,0,1,Thu,Day,Crash,Driver of a non-motorized vehicle,Under influence of alcohol,Clear,None or none of listed,Bicycle,"Private, not used for business activity",No,1000,1853736.3453992405,6307831.457739483,49.19392946000005,16.652396918000022
1510,2020/06/15 00:00,0,0,1,Thu,Night,Collision with pedestrian,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,Private company,No,0,1853073.3378666677,6308093.146433822,49.19546567900005,16.646441020000054
1511,2020/06/14 00:00,0,0,0,Wed,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,110000,1851105.7738818978,6301942.667066418,49.159347248000074,16.62876609200004
1512,2020/06/14 00:00,0,0,0,Wed,Day,Collision with wildlife animals,"Forest animals, pets",Not tested,Clear,None or none of listed,Passenger car without a trailer,Private company,No,30000,1850935.4038540213,6315992.762823888,49.24181718200003,16.627235632000065
1513,2020/06/14 00:00,0,0,0,Wed,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Truck,Private company,No,70000,1850849.2823092055,6310896.399651177,49.21191892200005,16.626461989000063
1514,2020/06/14 00:00,0,0,0,Wed,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Private company,No,50000,1855159.379519443,6299236.952511135,49.143449705000066,16.665180251000034
1515,2020/06/14 00:00,0,0,0,Wed,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Near the pedestrian crossing,"Not identified, the driver has fled",Not identified,No,0,1850221.1173319656,6311146.933574797,49.213389124000045,16.620819087000033
1516,2020/06/14 00:00,0,0,0,Wed,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,Ministry of Interior,No,110000,1846008.9570059732,6312413.386997171,49.22082035200003,16.58298060700002
1517,2020/06/14 00:00,0,0,1,Wed,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,0,1847815.204465729,6308833.3988153115,49.19981100300003,16.59920640400003
1518,2020/06/14 00:00,0,0,1,Wed,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,10000,1849077.353869224,6310658.310018075,49.21052170600006,16.610544485000048
1519,2020/06/14 00:00,0,0,0,Wed,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,0,1846862.8670012332,6308784.366619528,49.19952319300006,16.590651411000067
1520,2020/06/14 00:00,0,0,1,Wed,Day,Collision with pedestrian,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,Private company,No,0,1847375.377706702,6312816.63607989,49.22318628100003,16.595255373000043
1521,2020/06/14 00:00,0,0,0,Wed,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1840190.8881248224,6306944.9744123835,49.18872508800007,16.53071600500004
1522,2020/06/14 00:00,0,0,0,Wed,Day,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,0,1844055.9267826097,6304905.162706168,49.17674766900005,16.565436238000075
1523,2020/06/14 00:00,0,0,0,Wed,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1853310.8992259942,6314431.753259521,49.232661305000086,16.64857507000005
1524,2020/06/14 00:00,0,0,0,Wed,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,5000,1848153.3964183468,6308948.218168559,49.20048496500004,16.602244434000056
1525,2020/06/13 00:00,0,0,1,Tue,Night,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Truck with semi-trailer,Registered outside of the Czech Republic,No,30000,1851499.7566029516,6302620.379867425,49.163328380000046,16.632305299000052
1526,2020/06/13 00:00,0,0,0,Tue,Day,Collision with a non rail vehicle,The driver of the motor vehicle,Not tested,Clear,"Bus stop, trolleybus, tramway without boarding. islet","Not identified, the driver has fled",Not identified,No,0,1847138.2708648588,6308796.62285291,49.19959513500003,16.59312540600007
1527,2020/06/13 00:00,0,0,1,Tue,Day,Collision with pedestrian,Pedestrian,No,Clear,None or none of listed,Truck with semi-trailer,Registered outside of the Czech Republic,No,0,1848546.8734149488,6304851.528130473,49.176432697000045,16.605779098000024
1528,2020/06/13 00:00,0,0,0,Tue,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1837521.0892887178,6312291.487634347,49.220105126000085,16.506732794000072
1529,2020/06/13 00:00,0,0,0,Tue,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Bus,Registered outside of the Czech Republic,No,5000,1849085.0207765105,6308788.375081537,49.19954672200003,16.61061335800002
1530,2020/06/13 00:00,0,0,0,Tue,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1850757.0218284293,6309444.47693112,49.203397779000056,16.62563319900005
1531,2020/06/13 00:00,0,0,1,Tue,Day,Collision with pedestrian,Pedestrian,No,Clear,None or none of listed,Bus,Private company,No,0,1849650.5478347514,6306425.810506256,49.185676923000074,16.615693574000034
1532,2020/06/13 00:00,0,0,0,Tue,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,"Bridge, overpass, underpass, tunnel",Passenger car with trailer,"Private, not used for business activity",Yes,20000,1851412.948996111,6311748.957453412,49.21692178700005,16.631525493000026
1533,2020/06/13 00:00,0,1,0,Tue,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,30000,1844664.2471681756,6319288.838429074,49.26114426400005,16.570900873000028
1534,2020/06/13 00:00,0,0,0,Tue,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1849679.3605472362,6308996.209354107,49.20076665900006,16.61595240300005
1535,2020/06/13 00:00,0,0,0,Tue,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1848257.281548269,6306550.709308432,49.18641025800006,16.603177650000074
1536,2020/06/13 00:00,0,0,1,Tue,Day,Collision with a non rail vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Motorbike,"Private, not used for business activity",No,30000,1849720.6864610424,6303558.046696918,49.16883604900004,16.616323640000072
1537,2020/06/12 00:00,0,0,0,Mon,Day,Other collisions,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1839800.4890008215,6303802.741167826,49.170273235000074,16.527208990000073
1538,2020/06/12 00:00,0,0,0,Mon,Night,Collision with a non rail vehicle,The driver of the motor vehicle,Under influence of alcohol,Clear,"Bridge, overpass, underpass, tunnel",Passenger car without a trailer,"Private, not used for business activity",No,30000,1847916.0794052996,6312460.870936186,49.22109895400006,16.60011257900004
1539,2020/06/12 00:00,0,0,0,Mon,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,30000,1843991.969616324,6303233.051834437,49.166927163000025,16.564861701000037
1540,2020/06/12 00:00,0,0,0,Mon,Day,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,Private company,No,5000,1849356.0540142914,6308016.96177327,49.195018449000024,16.61304809100005
1541,2020/06/12 00:00,0,0,0,Mon,Night,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1849268.9968291535,6307850.6995715145,49.19404241900003,16.612266043000034
1542,2020/06/12 00:00,0,0,1,Mon,Day,Collision with pedestrian,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Truck,"Private, not used for business activity",No,10000,1846530.1281451941,6314775.701721209,49.23467883100005,16.587662367000064
1543,2020/06/12 00:00,0,0,1,Mon,Night,Crash,Driver of a non-motorized vehicle,Under influence of alcohol,Clear,None or none of listed,Bicycle,"Private, not used for business activity",No,1000,1849459.803111792,6307990.212046382,49.19486141800007,16.613980085000037
1544,2020/06/11 00:00,0,0,0,Sun,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1844978.7366408561,6316560.814638944,49.24514858700007,16.573725980000066
1545,2020/06/11 00:00,0,0,1,Sun,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Private company,No,50000,1849273.4378089188,6302927.078438125,49.16512993400004,16.61230593700003
1546,2020/06/11 00:00,0,0,0,Sun,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1849483.5770588461,6306630.037406204,49.18687602200003,16.61419365000006
1547,2020/06/11 00:00,0,0,1,Sun,Day,Collision with a parked vehicle,Driver of a non-motorized vehicle,Not tested,Clear,None or none of listed,Bicycle,"Private, not used for business activity",No,5000,1847892.078700449,6313715.605941889,49.22846027800005,16.599896977000068
1548,2020/06/11 00:00,0,0,0,Sun,Night,Collision with a non rail vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1849914.3564375755,6312117.701781185,49.21908544600006,16.618063407000022
1549,2020/06/11 00:00,0,0,0,Sun,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,Passenger car without a trailer,Stolen,No,0,1850371.7616573982,6311970.598117196,49.21822230600002,16.62217234800005
1550,2020/06/10 00:00,0,0,1,Sat,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,30000,1848431.7403410396,6310240.592643696,49.20807025900006,16.604744840000023
1551,2020/06/10 00:00,0,0,0,Sat,Day,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,Near the pedestrian crossing,"Not identified, the driver has fled",Not identified,No,0,1851943.5147211193,6306822.5917378375,49.188006560000076,16.636291646000075
1552,2020/06/10 00:00,0,0,1,Sat,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,30000,1853594.366628253,6306511.000575975,49.186177112000045,16.65112150100003
1553,2020/06/10 00:00,0,0,1,Sat,Night,Crash,Driver of a non-motorized vehicle,Under influence of alcohol,Clear,None or none of listed,Bicycle,"Private, not used for business activity",No,2000,1839401.6940494971,6314771.867882533,49.23465634300003,16.523626554000032
1554,2020/06/10 00:00,0,0,0,Sat,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1838795.5933745732,6312578.979622243,49.22179192500004,16.518181859000038
1555,2020/06/10 00:00,0,0,0,Sat,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,1000,1847969.2170963117,6307347.882456696,49.19109055100006,16.600589923000026
1556,2020/06/10 00:00,0,0,0,Sat,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1852264.3239126059,6306473.236867177,49.18595538500005,16.639173524000057
1557,2020/06/09 00:00,0,0,0,Fri,Night,Collision with wildlife animals,"Forest animals, pets",Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,70000,1851366.9699275938,6300033.531295748,49.148130568000056,16.631112456000036
1558,2020/06/09 00:00,0,0,0,Fri,Night,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1842748.2307868141,6303671.498185714,49.16950239900006,16.553689005000024
1559,2020/06/09 00:00,0,0,0,Fri,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,40000,1855051.9321658183,6299041.217058504,49.14229945500005,16.664215035000044
1560,2020/06/09 00:00,0,0,0,Fri,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,1000,1855425.7657250774,6305883.479405615,49.18249253600003,16.66757323900003
1561,2020/06/09 00:00,0,1,0,Fri,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Truck,"Private, not used for business activity",No,50000,1853933.2198186452,6306476.923695354,49.18597703200003,16.654165471000056
1562,2020/06/08 00:00,0,0,0,Thu,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,"Bridge, overpass, underpass, tunnel",Truck with semi-trailer,Private company,No,50000,1850229.467852248,6301935.889416869,49.15930743200005,16.620894101000033
1563,2020/06/08 00:00,0,0,1,Thu,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,120000,1851366.9699275938,6300033.531295748,49.148130568000056,16.631112456000036
1564,2020/06/08 00:00,0,0,0,Thu,Day,Collision with a non rail vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Truck,Private company,No,0,1851137.1663122592,6301980.967459392,49.15957224700003,16.629048095000027
1565,2020/06/08 00:00,0,0,0,Thu,Night,Collision with a parked vehicle,The driver of the motor vehicle,Under influence of alcohol,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,30000,1837176.3451821941,6315656.841989595,49.239847030000085,16.503635905000067
1566,2020/06/08 00:00,0,0,0,Thu,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Truck,Registered outside of the Czech Republic,No,50000,1849750.7510725125,6306861.506526781,49.18823503600003,16.616593715000022
1567,2020/06/08 00:00,0,0,0,Thu,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,"Exit from the car park, forest roads, etc.",Truck,Private company,No,0,1850227.9281923722,6305537.600734569,49.180461545000064,16.620880270000043
1568,2020/06/08 00:00,0,0,0,Thu,Day,Crash,The driver of the motor vehicle,No,Clear,"Bus stop, trolleybus, tramway without boarding. islet",Truck,Private company,No,10000,1852225.8437702619,6307500.185520032,49.19198468900004,16.63882785100003
1569,2020/06/08 00:00,0,0,0,Thu,Day,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Truck,Private company,No,0,1844115.1339462139,6304511.622012655,49.174436533000055,16.565968105000024
1570,2020/06/08 00:00,0,0,1,Thu,Day,Collision with pedestrian,Pedestrian,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,3000,1849719.681802632,6309636.788054246,49.20452651200003,16.61631461500002
1571,2020/06/08 00:00,0,0,0,Thu,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,120000,1855323.9344397632,6306607.683574564,49.18674477500007,16.66665847300004
1572,2020/06/08 00:00,0,0,0,Thu,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1850784.2454551815,6303987.089320901,49.17135595600007,16.625877753000054
1573,2020/06/08 00:00,0,0,0,Thu,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,"Bus, trolleybus, tram stop. islet",Passenger car without a trailer,"Private, not used for business activity",No,5000,1837602.7853271726,6311916.011541599,49.217902012000074,16.50746668200003
1574,2020/06/07 00:00,0,0,0,Wed,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1843868.795490315,6304803.163785221,49.17614867300005,16.563755209000018
1575,2020/06/07 00:00,0,0,0,Wed,Day,Collision with a parked vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,30000,1848331.341626257,6307467.279957113,49.19179150900003,16.60384294300007
1576,2020/06/07 00:00,0,0,0,Wed,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1846978.878942517,6312366.820948052,49.220547134000064,16.591693564000025
1577,2020/06/07 00:00,0,0,0,Wed,Day,Collision with a non rail vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1852655.7335949447,6309884.141772186,49.20597826900006,16.64268961700003
1578,2020/06/07 00:00,0,0,0,Wed,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,0,1848454.6645864206,6310017.371824681,49.20676019900002,16.60495077200005
1579,2020/06/07 00:00,0,0,0,Wed,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,1000,1837796.878985693,6313704.0393985845,49.22839242400004,16.509210255000024
1580,2020/06/07 00:00,0,0,0,Wed,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1849902.752493857,6314444.322696089,49.232735036000065,16.617959167000038
1581,2020/06/07 00:00,0,0,0,Wed,Day,Collision with a non rail vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, used for business activity",No,0,1847993.9463872379,6301629.385034968,49.15750680700005,16.60081207000007
